scheme,age,snr_mean,snr_stderr
uniform/g=0.25/m=8,14,4.970955e0,1.101444e-1
uniform/g=0.25/m=8,17,4.894821e0,2.509797e-1
uniform/g=0.25/m=8,22,4.542265e0,2.178621e-1
uniform/g=0.25/m=8,27,4.143790e0,2.008523e-1
uniform/g=0.25/m=8,33,3.750466e0,2.838757e-1
uniform/g=0.25/m=8,42,3.242554e0,2.659794e-1
uniform/g=0.25/m=8,52,3.094965e0,2.847833e-1
uniform/g=0.25/m=8,65,2.651514e0,3.355226e-1
uniform/g=0.25/m=8,80,2.806397e0,3.307450e-1
uniform/g=0.25/m=8,100,2.501136e0,3.675317e-1
uniform/g=0.25/m=8,125,2.618840e0,3.612325e-1
uniform/g=0.25/m=8,155,2.281801e0,2.255087e-1
uniform/g=0.25/m=8,193,2.049370e0,3.127944e-1
uniform/g=0.25/m=8,241,2.284598e0,4.397155e-1
uniform/g=0.25/m=8,300,2.240382e0,5.084713e-1
uniform/g=0.25/m=8,373,1.795151e0,3.944958e-1
uniform/g=0.25/m=8,465,1.481985e0,3.937939e-1
uniform/g=0.25/m=8,579,1.666645e0,3.111533e-1
uniform/g=0.25/m=8,721,7.992554e-1,2.218484e-1
uniform/g=0.25/m=8,897,7.351658e-1,4.618156e-1
uniform/g=0.25/m=8,1118,8.822352e-1,2.527779e-1
uniform/g=0.25/m=8,1392,4.100891e-1,3.770238e-1
uniform/g=0.25/m=8,1733,-3.684475e-1,3.293756e-1
uniform/g=0.25/m=8,2158,-4.423753e-1,2.990400e-1
uniform/g=0.25/m=8,2687,-2.086089e-1,3.811713e-1
uniform/g=0.25/m=8,3346,-6.138752e-1,2.516664e-1
uniform/g=0.25/m=8,4167,2.271175e-1,4.908779e-1
uniform/g=0.25/m=8,5189,2.638153e-1,3.421852e-1
uniform/g=0.25/m=8,6461,1.092078e-1,3.367078e-1
uniform/g=0.25/m=8,8046,1.684800e-2,4.396246e-1
uniform/g=0.25/m=8,10019,-3.173789e-1,3.334968e-1
uniform/g=0.25/m=8,12476,-1.969083e-1,4.643614e-1
uniform/g=0.25/m=8,15536,7.130948e-1,3.912921e-1
uniform/g=0.25/m=8,19347,-3.780622e-1,3.942326e-1
uniform/g=0.25/m=8,24091,5.537517e-1,3.118108e-1
uniform/g=0.25/m=8,30000,3.177058e-2,3.306011e-1
geo/r=2/m=8,1,7.364154e0,1.662055e-1
geo/r=2/m=8,2,7.190697e0,1.547994e-1
geo/r=2/m=8,3,6.941408e0,1.876528e-1
geo/r=2/m=8,4,6.776271e0,1.533383e-1
geo/r=2/m=8,5,6.533608e0,1.950666e-1
geo/r=2/m=8,6,6.509123e0,1.896456e-1
geo/r=2/m=8,7,6.271864e0,3.250687e-1
geo/r=2/m=8,9,6.103658e0,2.358701e-1
geo/r=2/m=8,11,5.614607e0,2.709209e-1
geo/r=2/m=8,14,5.242884e0,1.386208e-1
geo/r=2/m=8,17,5.205507e0,2.427363e-1
geo/r=2/m=8,22,4.856165e0,1.788168e-1
geo/r=2/m=8,27,4.513067e0,1.971758e-1
geo/r=2/m=8,33,4.194319e0,2.595601e-1
geo/r=2/m=8,42,3.615343e0,2.721722e-1
geo/r=2/m=8,52,3.398406e0,2.739717e-1
geo/r=2/m=8,65,2.820161e0,3.147091e-1
geo/r=2/m=8,80,2.955362e0,3.252043e-1
geo/r=2/m=8,100,2.558877e0,4.067219e-1
geo/r=2/m=8,125,2.529101e0,4.141045e-1
geo/r=2/m=8,155,2.039204e0,3.023149e-1
geo/r=2/m=8,193,1.805002e0,3.240338e-1
geo/r=2/m=8,241,1.925260e0,4.371154e-1
geo/r=2/m=8,300,1.893287e0,5.445059e-1
geo/r=2/m=8,373,1.322998e0,3.595914e-1
geo/r=2/m=8,465,1.004606e0,3.611100e-1
geo/r=2/m=8,579,1.420285e0,3.726061e-1
geo/r=2/m=8,721,6.758951e-1,2.316406e-1
geo/r=2/m=8,897,7.747893e-1,4.760425e-1
geo/r=2/m=8,1118,9.642785e-1,3.202591e-1
geo/r=2/m=8,1392,6.556581e-1,3.991018e-1
geo/r=2/m=8,1733,-1.862545e-1,3.148346e-1
geo/r=2/m=8,2158,-2.187438e-1,2.755346e-1
geo/r=2/m=8,2687,9.132129e-2,3.606917e-1
geo/r=2/m=8,3346,-3.176611e-1,2.169822e-1
geo/r=2/m=8,4167,3.405255e-1,4.841335e-1
geo/r=2/m=8,5189,3.873609e-1,3.461813e-1
geo/r=2/m=8,6461,2.801123e-1,3.150918e-1
geo/r=2/m=8,8046,-1.642908e-2,4.255370e-1
geo/r=2/m=8,10019,-1.879950e-1,3.152786e-1
geo/r=2/m=8,12476,-2.630922e-1,4.368501e-1
geo/r=2/m=8,15536,6.490297e-1,3.780246e-1
geo/r=2/m=8,19347,-3.313325e-1,4.101606e-1
geo/r=2/m=8,24091,4.945880e-1,2.800705e-1
geo/r=2/m=8,30000,1.359798e-1,2.623951e-1
geo/r=4/m=4,1,7.334642e0,1.653038e-1
geo/r=4/m=4,2,6.913959e0,1.473459e-1
geo/r=4/m=4,3,6.528395e0,2.370494e-1
geo/r=4/m=4,4,6.327851e0,1.974013e-1
geo/r=4/m=4,5,6.154799e0,2.503131e-1
geo/r=4/m=4,6,6.247803e0,2.292487e-1
geo/r=4/m=4,7,6.055579e0,3.855743e-1
geo/r=4/m=4,9,6.061176e0,2.380414e-1
geo/r=4/m=4,11,5.635856e0,3.049375e-1
geo/r=4/m=4,14,5.422246e0,1.575751e-1
geo/r=4/m=4,17,5.468216e0,2.681705e-1
geo/r=4/m=4,22,5.142877e0,1.688792e-1
geo/r=4/m=4,27,4.733679e0,1.800099e-1
geo/r=4/m=4,33,4.356273e0,2.587377e-1
